iter	Logloss
0	0.685494942
1	0.6786937409
2	0.6716117758
3	0.6646630096
4	0.6581062921
5	0.6523601318
6	0.64633012
7	0.6404452717
8	0.6350152119
9	0.6292223506
10	0.6237056216
11	0.6188414637
12	0.613628699
13	0.6105203124
14	0.6057545313
15	0.6011277813
16	0.596634616
17	0.5942095487
18	0.5898452081
19	0.5858017281
20	0.5817012549
21	0.5781158227
22	0.5758974151
23	0.5736735612
24	0.5703141296
25	0.5682096228
26	0.5649783297
27	0.561549211
28	0.5593058876
29	0.5573220574
30	0.5552414801
31	0.5534473703
32	0.5515235782
33	0.5496605532
34	0.5465665328
35	0.5438493373
36	0.5421195969
37	0.5395217485
38	0.5368139018
39	0.535228939
40	0.5336075245
41	0.5309490805
42	0.5291182188
43	0.527585532
44	0.5260662251
45	0.5245682746
46	0.5229180418
47	0.5214972403
48	0.5191906625
49	0.517786886
50	0.51568804
51	0.5142099879
52	0.5128124297
53	0.5107465188
54	0.5093700168
55	0.5081014977
56	0.506144556
57	0.5048973932
58	0.5036454702
59	0.5024164476
60	0.5009721025
61	0.4995580767
62	0.4977480997
63	0.4964890151
64	0.4952741013
65	0.4933490656
66	0.4920753145
67	0.4910067222
68	0.4899554123
69	0.4881766979
70	0.4865581567
71	0.4854947962
72	0.4844707179
73	0.4832804626
74	0.4823088747
75	0.4813137433
76	0.4802780862
77	0.478787812
78	0.477807733
79	0.4768487959
80	0.4759037963
81	0.4749806677
82	0.4740843419
83	0.4731477905
84	0.4722336247
85	0.4711699641
86	0.4701603377
87	0.4686661611
88	0.4677736948
89	0.4668111555
90	0.4659633318
91	0.4650525539
92	0.464219268
93	0.4634076817
94	0.4625759396
95	0.4616210766
96	0.4608461134
97	0.4600422462
98	0.459232075
99	0.4584144848
100	0.4576245121
101	0.4567792187
102	0.4555150737
103	0.4547907569
104	0.4534608274
105	0.452535769
106	0.4517828484
107	0.4510260682
108	0.4502077918
109	0.4486556356
110	0.4478602166
111	0.4471959808
112	0.4461941594
113	0.4455355415
114	0.4448888455
115	0.4441763219
116	0.4434934315
117	0.4422412084
118	0.4415465247
119	0.4409388534
120	0.4403141999
121	0.4396425023
122	0.4389965353
123	0.438361804
124	0.4377232559
125	0.4366322351
126	0.4355222594
127	0.4342123139
128	0.4334835372
129	0.4325545763
130	0.4319472481
131	0.4313325009
132	0.4306844326
133	0.4301376142
134	0.4295074715
135	0.4289364663
136	0.428032164
137	0.4274390733
138	0.4268542594
139	0.4262858702
140	0.4257625953
141	0.425187945
142	0.4245842619
143	0.4239885983
144	0.4233633444
145	0.4225550172
146	0.4220095282
147	0.4214540472
148	0.4205814792
149	0.4200540017
150	0.4193919959
151	0.4189057731
152	0.4180316185
153	0.4174010898
154	0.4168779865
155	0.4164036855
156	0.4158975644
157	0.4154355283
158	0.4149233176
159	0.4143654351
160	0.4135300908
161	0.4130283867
162	0.4124633853
163	0.4118821308
164	0.4113788829
165	0.4108770502
166	0.410151447
167	0.4096402655
168	0.4090378261
169	0.4085873259
170	0.4080830488
