iter	Passed	Remaining
0	293	293516
1	622	310690
2	930	309383
3	1286	320461
4	1595	317407
5	6037	1000143
6	6298	893522
7	6532	809979
8	6769	745425
9	7015	694502
10	7258	652560
11	7508	618199
12	7729	586871
13	7953	560170
14	8175	536842
15	8406	517006
16	8642	499742
17	8859	483332
18	9102	469952
19	9328	457075
20	9572	446245
21	9794	435405
22	10012	425292
23	10236	416291
24	10470	408343
25	10687	400361
26	10929	393868
27	11171	387805
28	11394	381519
29	11594	374894
30	11787	368449
31	11987	362636
32	12192	357262
33	12397	352248
34	12609	347665
35	12812	343081
36	13013	338710
37	13217	334621
38	13433	331017
39	13631	327161
40	13835	323626
41	14048	320444
42	14253	317222
43	14447	313894
44	14653	310987
45	14845	307890
46	15052	305207
47	15242	302303
48	15453	299932
49	15661	297559
50	15868	295279
51	16081	293177
52	16288	291033
53	16495	288976
54	16711	287127
55	16902	284920
56	17119	283222
57	17312	281179
58	17508	279252
59	17695	277226
60	17919	275841
61	18116	274080
62	18324	272544
63	18527	270959
64	18729	269419
65	18941	268047
66	19138	266504
67	19335	265009
68	19542	263682
69	19752	262423
70	19958	261147
71	20165	259910
72	20365	258610
73	20556	257233
74	20749	255908
75	20935	254527
76	21128	253267
77	21344	252301
78	21534	251057
79	21725	249846
80	21901	248492
81	22106	247488
82	22295	246325
83	22482	245163
84	22669	244031
85	22886	243234
86	23109	242519
87	23313	241610
88	23510	240650
89	23701	239645
90	23895	238691
91	24087	237733
92	24289	236890
93	24477	235919
94	24664	234962
95	24871	234209
96	25053	233234
97	25239	232306
98	25446	231591
99	25630	230672
100	25826	229882
101	26015	229041
102	26211	228269
103	26392	227378
104	26610	226826
105	26844	226406
106	27027	225566
107	27223	224849
108	27445	224347
109	27676	223926
110	27863	223156
111	28054	222431
112	28279	221981
113	28455	221153
114	28631	220341
115	28822	219650
116	29003	218891
117	29261	218714
118	29449	218022
119	29646	217404
120	29837	216755
121	30022	216066
122	30196	215304
123	30385	214660
124	30579	214056
125	30802	213661
126	31012	213180
127	31244	212854
128	31449	212346
129	31678	211999
130	31874	211441
131	32064	210851
132	32269	210357
133	32469	209842
134	32660	209271
135	32854	208722
136	33045	208160
137	33226	207546
138	33414	206979
139	33602	206413
140	33782	205811
141	33951	205146
142	34129	204537
143	34315	203988
144	34502	203443
145	34684	202878
146	34875	202374
147	35078	201935
148	35291	201566
149	35466	200979
150	35638	200377
151	35820	199838
152	36037	199504
153	36243	199106
154	36424	198574
155	36604	198041
156	36820	197706
157	37008	197223
158	37199	196761
159	37418	196449
160	37652	196216
161	37826	195672
162	38004	195152
163	38183	194644
164	38366	194155
165	38541	193634
166	38767	193371
167	38940	192849
168	39141	192465
169	39329	192020
170	39517	191578
171	39692	191079
172	39879	190637
173	40053	190140
174	40238	189697
175	40424	189257
176	40611	188832
177	40787	188355
178	40960	187870
179	41175	187578
180	41406	187356
181	41605	186996
182	41787	186561
183	42006	186288
184	42178	185815
185	42370	185428
186	42565	185059
187	42751	184651
188	42924	184189
189	43105	183765
190	43291	183367
191	43547	183263
192	43727	182841
193	43907	182418
194	44086	181998
195	44320	181802
196	44517	181458
197	44701	181065
198	44918	180801
199	45105	180421
200	45300	180076
201	45482	179677
202	45728	179533
203	45905	179120
204	46094	178755
205	46263	178317
206	46448	177941
207	46633	177564
208	46817	177191
209	47001	176815
210	47185	176442
211	47359	176033
212	47577	175789
213	47789	175527
214	47969	175142
215	48143	174742
216	48319	174351
217	48493	173954
218	48672	173577
219	48842	173169
220	49099	173070
221	49317	172834
222	49488	172431
223	49685	172125
224	49856	171728
225	50043	171388
226	50219	171011
227	50439	170787
228	50621	170433
229	50798	170064
230	51020	169845
231	51199	169488
232	51383	169145
233	51568	168809
234	51759	168493
235	51965	168226
236	52162	167933
237	52354	167623
238	52536	167281
239	52722	166953
240	52898	166596
241	53080	166261
242	53258	165912
243	53519	165821
244	53702	165492
245	53876	165134
246	54075	164853
247	54254	164514
248	54450	164226
249	54651	163954
250	54825	163603
251	55019	163312
252	55209	163010
253	55430	162798
